report_date,station_name,instruments_mk_3,instruments_mk_4,instruments_imdgps,instruments_fgps,instruments_others,balloons_pr875,balloons_chinese,balloons_others,thread,batteries,targets,chemicals_caustic_soda,chemicals_ferro_silicon
2026-09-10,MACHILIPATNAM,0,0,0,0,697,0,0,362,0,0,0,289,283
2026-09-10,MAITRI,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-10,MOHANBARI,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-10,MUMBAI,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-10,PATIALA,0,0,0,0,59,0,0,274,0,0,0,0,53
2026-09-10,PATNA,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-10,PUNE,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-10,RAIPUR,0,0,0,0,674,0,0,68,0,0,0,0,0
2026-09-10,RANCHI,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-10,RATNAGIRI,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-10,SRINAGAR,0,0,0,0,985,0,0,28,0,0,0,0,150
2026-09-10,THIRUVANANTHAPURAM,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-10,VISAKHAPATNAM,0,0,0,0,912,0,0,80,1,0,0,0,0
